,title,rating,genre,medium
0,Kung Fu Panda 4,6.8,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",movie
1,Argylle,6.1,"['Action', 'Adventure', 'Comedy']",movie
2,No Way Up,6.0,"['Action', 'Horror', 'Thriller']",movie
3,Poor Things,7.9,"['Science Fiction', 'Romance', 'Comedy']",movie
4,Megamind vs. the Doom Syndicate,5.5,"['Animation', 'Comedy', 'Science Fiction']",movie
5,Code 8 Part II,6.6,"['Science Fiction', 'Action', 'Crime']",movie
6,Oppenheimer,8.1,"['Drama', 'History']",movie
7,Dune: Part Two,8.4,"['Science Fiction', 'Adventure']",movie
8,Migration,7.6,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",movie
9,Land of Bad,6.9,"['Action', 'Thriller', 'War']",movie
10,"The Pig, the Snake and the Pigeon",7.6,"['Action', 'Crime']",movie
11,Damsel,7.3,"['Fantasy', 'Adventure', 'Action']",movie
12,Anyone But You,7.0,"['Comedy', 'Romance']",movie
13,Meteor,5.4,"['Science Fiction', 'Thriller']",movie
14,The Thundermans Return,7.6,"['Family', 'Science Fiction', 'Action', 'Comedy']",movie
15,Jaque Mate,4.7,"['Action', 'Comedy']",movie
16,Dune,7.8,"['Science Fiction', 'Adventure']",movie
17,Wonka,7.2,"['Comedy', 'Family', 'Fantasy']",movie
18,Ruthless,6.6,"['Action', 'Thriller']",movie
19,The Beekeeper,7.5,"['Action', 'Thriller', 'Drama']",movie
20,Watch What Happens Live with Andy Cohen,5.2,"['Talk', 'Comedy']",show
21,"Gute Zeiten, schlechte Zeiten",6.2,"['Drama', 'Soap']",show
22,Binnelanders,5.9,['Soap'],show
23,The Late Show with Stephen Colbert,6.5,"['Comedy', 'Talk']",show
24,Tomorrow Is Ours,6.1,"['Crime', 'Drama']",show
25,Prostřeno!,6.2,['Reality'],show
26,The Jennifer Hudson Show,6.5,['Talk'],show
27,Chronicles of the Sun,7.3,['Soap'],show
28,Tagesschau,6.9,['News'],show
29,The Kelly Clarkson Show,6.2,['Talk'],show
30,Sturm der Liebe,7.0,"['Drama', 'Soap']",show
31,The Daily Show,6.3,"['News', 'Comedy']",show
32,Great Minds,5.3,"['Talk', 'Documentary']",show
33,Lang Leve de Liefde,2.7,['Reality'],show
34,Na lovu,8.0,"['Reality', 'Family']",show
35,Unpredictable Family,6.7,"['Family', 'Comedy']",show
36,Ulice,3.3,"['Drama', 'Comedy']",show
37,Suidooster,8.0,['Soap'],show
38,Barbara Karlich – Talk um 4,3.5,['Talk'],show
39,Here it all begins,7.1,"['Soap', 'Drama']",show
40,RGG Land,10.0,['Card & Board Game'],game
42,Blood on the Clocktower,10.0,"['Role-playing (RPG)', 'Strategy', 'Card & Board Game']",game
43,Apes vs Helium,10.0,['Shooter'],game
44,Maxon Petting Simulator,10.0,['Simulator'],game
45,Outer Wilds: Archaeologist Edition,10.0,"['Puzzle', 'Adventure', 'Indie']",game
46,Final Fantasy VII Rebirth,10.0,"['Role-playing (RPG)', 'Adventure']",game
47,The Last of Us Part II: Remastered,9.997011952191235,"['Shooter', 'Adventure']",game
