,Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Underlying Cause,113 Code
1,2017,Unintentional injuries,Alabama,2703,53.8,Accidents ,"V01-X59,Y85-Y86"
2,2017,Unintentional injuries,Alaska,436,63.7,Accidents ,"V01-X59,Y85-Y86"
3,2017,Unintentional injuries,Arizona,4184,56.2,Accidents ,"V01-X59,Y85-Y86"
4,2017,Unintentional injuries,Arkansas,1625,51.8,Accidents ,"V01-X59,Y85-Y86"
5,2017,Unintentional injuries,California,13840,33.2,Accidents ,"V01-X59,Y85-Y86"
6,2017,Unintentional injuries,Colorado,3037,53.6,Accidents ,"V01-X59,Y85-Y86"
7,2017,Unintentional injuries,Connecticut,2078,53.2,Accidents ,"V01-X59,Y85-Y86"
8,2017,Unintentional injuries,Delaware,608,61.9,Accidents ,"V01-X59,Y85-Y86"
9,2017,Unintentional injuries,District of Columbia,427,61.0,Accidents ,"V01-X59,Y85-Y86"
10,2017,Unintentional injuries,Florida,13059,56.1,Accidents ,"V01-X59,Y85-Y86"
11,2017,Unintentional injuries,Georgia,4712,45.2,Accidents ,"V01-X59,Y85-Y86"
12,2017,Unintentional injuries,Hawaii,585,35.7,Accidents ,"V01-X59,Y85-Y86"
13,2017,Unintentional injuries,Idaho,876,49.8,Accidents ,"V01-X59,Y85-Y86"
14,2017,Unintentional injuries,Illinois,6019,44.4,Accidents ,"V01-X59,Y85-Y86"
15,2017,Unintentional injuries,Indiana,3978,58.7,Accidents ,"V01-X59,Y85-Y86"
16,2017,Unintentional injuries,Iowa,1536,42.8,Accidents ,"V01-X59,Y85-Y86"
17,2017,Unintentional injuries,Kansas,1567,49.4,Accidents ,"V01-X59,Y85-Y86"
18,2017,Unintentional injuries,Kentucky,3264,72.9,Accidents ,"V01-X59,Y85-Y86"
19,2017,Unintentional injuries,Louisiana,2780,58.9,Accidents ,"V01-X59,Y85-Y86"
20,2017,Unintentional injuries,Maine,990,68.0,Accidents ,"V01-X59,Y85-Y86"
21,2017,Unintentional injuries,Maryland,2408,36.9,Accidents ,"V01-X59,Y85-Y86"
22,2017,Unintentional injuries,Massachusetts,3821,51.5,Accidents ,"V01-X59,Y85-Y86"
23,2017,Unintentional injuries,Michigan,5623,53.0,Accidents ,"V01-X59,Y85-Y86"
24,2017,Unintentional injuries,Minnesota,2788,44.6,Accidents ,"V01-X59,Y85-Y86"
25,2017,Unintentional injuries,Mississippi,1738,56.3,Accidents ,"V01-X59,Y85-Y86"
26,2017,Unintentional injuries,Missouri,3776,58.8,Accidents ,"V01-X59,Y85-Y86"
27,2017,Unintentional injuries,Montana,579,50.2,Accidents ,"V01-X59,Y85-Y86"
